TestCaseID,ExcelID,Module,ExcelModule,Description,FlowFile,App
AI_01,AI Tool 01,ai,Create Screen,"Verify UI layout of ""Create"" screen",ai/AI_01 - Verify UI layout of Create screen.yaml,com.hp.impulse.sprocket
AI_02,AI Tools 02,ai,Sprocket AI,Verify navigation to AI tools,ai/AI_02 - Verify navigation to AI tools.yaml,com.hp.impulse.sprocket
AI_03,AI Tools 03,ai,AI Tools,Verify UI layout of AI Tools screen,ai/AI_03 - Verify UI layout of AI Tools screen.yaml,com.hp.impulse.sprocket
AI_04,AI Tools 04,ai,AI Tools,Verify Tool accessibility,ai/AI_04 - Verify Tool accessibility.yaml,com.hp.impulse.sprocket
AI_05,AI Tools 05,ai,Navigation,Verify Bottom Tab persistence,ai/AI_05 - Verify Bottom Tab persistence.yaml,com.hp.impulse.sprocket
AI_06,AI Tools 06,ai,Performance,Verify rapid tab switching,ai/AI_06 - Verify rapid tab switching.yaml,com.hp.impulse.sprocket
AI_07,AI Tools 07,ai,AI Tools,Verify Background Tools navigation,ai/AI_07 - Verify Background Tools navigation.yaml,com.hp.impulse.sprocket
AI_08,AI Tool 08,ai,AI Tools,Verify Object Tools navigation,ai/AI_08 - Verify Object Tools navigation.yaml,com.hp.impulse.sprocket
AI_09,AI Tools 09,ai,AI Tools,Verify Photo Enhancements navigation,ai/AI_09 - Verify Photo Enhancements navigation.yaml,com.hp.impulse.sprocket
AI_10,AI Tools  10,ai,AI Tools,Verify Generate Tools navigation,ai/AI_10 - Verify Generate Tools navigation.yaml,com.hp.impulse.sprocket
AI_11,AI Tools 11,ai,UI Layout,Verify visual layout and typography elements of the loader screen,ai/AI_11 - Verify visual layout and typography elements of the loader s.yaml,com.hp.impulse.sprocket
AI_12,AI Tools 12,ai,UI Backdrop,Verify selected image is used as loader backdrop,ai/AI_12 - Verify selected image is used as loader backdrop.yaml,com.hp.impulse.sprocket
AI_13,AI Tools 13,ai,Animation,Verify loading icon animation playback,ai/AI_13 - Verify loading icon animation playback.yaml,com.hp.impulse.sprocket
AI_14,AI Tools 14,ai,Timeout / Threshold,Verify loader remains active during long processing,ai/AI_14 - Verify loader remains active during long processing.yaml,com.hp.impulse.sprocket
AI_15,AI Tools 15,ai,State Transition,Verify transition after AI processing completes,ai/AI_15 - Verify transition after AI processing completes.yaml,com.hp.impulse.sprocket
AI_16,AI Tools 16,ai,Navigation Interruption,Verify behavior when app is minimized during loading,ai/AI_16 - Verify behavior when app is minimized during loading.yaml,com.hp.impulse.sprocket
AI_17,AI Tools 17,ai,Network Interruption,Verify handling of network loss during loading,ai/AI_17 - Verify handling of network loss during loading.yaml,com.hp.impulse.sprocket
AI_18,AI Tools 18,ai,Navigation,Verify path to Prompt Entry,ai/AI_18 - Verify path to Prompt Entry.yaml,com.hp.impulse.sprocket
AI_19,AI Tools 19,ai,UI Layout,"Verify ""Prompt Error"" popup",ai/AI_19 - Verify Prompt Error popup.yaml,com.hp.impulse.sprocket
AI_20,AI Tools 20,ai,Guard Rails,Verify error trigger logic,ai/AI_20 - Verify error trigger logic.yaml,com.hp.impulse.sprocket
AI_21,AI Tools 21,ai,Interaction,Verify dismiss behavior,ai/AI_21 - Verify dismiss behavior.yaml,com.hp.impulse.sprocket
AI_22,AI Tools 22,ai,Cross-Module,Verify error consistency,ai/AI_22 - Verify error consistency.yaml,com.hp.impulse.sprocket
AI_23,AI Tools 23,ai,UI Block,Verify background occlusion,ai/AI_23 - Verify background occlusion.yaml,com.hp.impulse.sprocket
AI_24,AI Tools 24,ai,UI Layout,"Verify UI, text, and styling",ai/AI_24 - Verify UI text and styling.yaml,com.hp.impulse.sprocket
AI_25,AI Tools 25,ai,Trigger Condition,Verify popup appears on cancel,ai/AI_25 - Verify popup appears on cancel.yaml,com.hp.impulse.sprocket
AI_26,AI Tools 26,ai,Interaction: Stay,"Verify ""Stay"" functionality",ai/AI_26 - Verify Stay functionality.yaml,com.hp.impulse.sprocket
AI_27,AI Tools 27,ai,Interaction: Exit,"Verify ""Exit"" functionality",ai/AI_27 - Verify Exit functionality.yaml,com.hp.impulse.sprocket
AI_28,AI Tools 28,ai,Scope Verification,Verify universal scope,ai/AI_28 - Verify universal scope.yaml,com.hp.impulse.sprocket
AI_29,AI Tools 29,ai,UI Block,Verify background modality,ai/AI_29 - Verify background modality.yaml,com.hp.impulse.sprocket
AI_30,AI Tools 30,ai,Setup & Navigation,Verify app launch and Collage creation,ai/AI_30 - Verify app launch and Collage creation.yaml,com.hp.impulse.sprocket
AI_31,AI Tools 31,ai,UI Layout,Verify visual state of disabled AI button,ai/AI_31 - Verify visual state of disabled AI button.yaml,com.hp.impulse.sprocket
AI_32,AI Tools 32,ai,Functionality,Verify disabled AI button behavior,ai/AI_32 - Verify disabled AI button behavior.yaml,com.hp.impulse.sprocket
AI_33,AI Tools 33,ai,Toast Message,Verify specific toast text for Collage,ai/AI_33 - Verify specific toast text for Collage.yaml,com.hp.impulse.sprocket
AI_34,AITools 34,ai,UI Coverage,Verify full screen layout elements,ai/AI_34 - Verify full screen layout elements.yaml,com.hp.impulse.sprocket
AI_35,AI Tools 35,ai,Toast Consistency,Verify toast text across modes,ai/AI_35 - Verify toast text across modes.yaml,com.hp.impulse.sprocket
AI_36,AI Tools  36,ai,UI Layout,Verify layout and content,ai/AI_36 - Verify layout and content.yaml,com.hp.impulse.sprocket
AI_37,AI Tools 37,ai,Functionality,Verify trigger on AI generation,ai/AI_37 - Verify trigger on AI generation.yaml,com.hp.impulse.sprocket
AI_38,AI Tools 38,ai,Priority,Verify popup priority,ai/AI_38 - Verify popup priority.yaml,com.hp.impulse.sprocket
AI_39,AI Tools 39,ai,Interaction,Verify dismissal behavior,ai/AI_39 - Verify dismissal behavior.yaml,com.hp.impulse.sprocket
AI_40,AI Tools 40,ai,UI Block,Verify background modality,ai/AI_40 - Verify background modality.yaml,com.hp.impulse.sprocket
AI_41,AI Tools 41,ai,Navigation & Loader,Verify initial tool flow and loader,ai/AI_41 - Verify initial tool flow and loader.yaml,com.hp.impulse.sprocket
AI_42,AI Tools 42,ai,Result View,Verify processed image presentation,ai/AI_42 - Verify processed image presentation.yaml,com.hp.impulse.sprocket
AI_43,AI Tools 43,ai,Show Original,Verify toggle functionality,ai/AI_43 - Verify toggle functionality.yaml,com.hp.impulse.sprocket
AI_44,AI Tools 44,ai,Cancel Edits,Verify cancellation behavior,ai/AI_44 - Verify cancellation behavior.yaml,com.hp.impulse.sprocket
AI_45,AI Tools 45,ai,Apply (Standard),Verify apply with background removed,ai/AI_45 - Verify apply with background removed.yaml,com.hp.impulse.sprocket
AI_46,AI Tools 46,ai,Apply (Override),Verify apply while Show Original is ON,ai/AI_46 - Verify apply while Show Original is ON.yaml,com.hp.impulse.sprocket
AI_47,AI Tools 47,ai,Navigation & Selection,Verify initial tool flow and prompt,ai/AI_47 - Verify initial tool flow and prompt.yaml,com.hp.impulse.sprocket
AI_48,AI Tools 48,ai,Processing,Verify generation loader,ai/AI_48 - Verify generation loader.yaml,com.hp.impulse.sprocket
AI_49,AI Tools 49,ai,Background Options,Verify UI layout of background options,ai/AI_49 - Verify UI layout of background options.yaml,com.hp.impulse.sprocket
AI_50,AI Tools 50,ai,Selection & Preview,Verify background replacement,ai/AI_50 - Verify background replacement.yaml,com.hp.impulse.sprocket
AI_51,AI Tools 51,ai,Apply & Preview,Verify save and print navigation,ai/AI_51 - Verify save and print navigation.yaml,com.hp.impulse.sprocket
AI_52,AI Tools 52,ai,Cancellation,Verify discard functionality,ai/AI_52 - Verify discard functionality.yaml,com.hp.impulse.sprocket
