TestCaseID,ExcelID,Module,ExcelModule,Description,FlowFile,App
AL_01,Blockers Error Pop up Android   01,alerts,Memory Error,"Verify ""Memory Error"" popup during printing",alerts/AL_01 - Verify Memory Error popup during printing.yaml,com.hp.impulse.sprocket
AL_02,Blockers Error Pop up Android  02,alerts,Transmit Error,"Verify ""Transmit Error"" popup during printing",alerts/AL_02 - Verify Transmit Error popup during printing.yaml,com.hp.impulse.sprocket
AL_03,Blockers Error Pop up Android   03,alerts,Low Voltage,"Verify ""Low Voltage"" popup during printing",alerts/AL_03 - Verify Low Voltage popup during printing.yaml,com.hp.impulse.sprocket
AL_04,Blockers Error Pop up Android   04,alerts,Print Error,"Verify ""Print Error"" popup during printing",alerts/AL_04 - Verify Print Error popup during printing.yaml,com.hp.impulse.sprocket
AL_05,Blockers Error Pop up Android   05,alerts,High Temperature,"Verify ""High Temperature"" popup during printing",alerts/AL_05 - Verify High Temperature popup during printing.yaml,com.hp.impulse.sprocket
AL_06,Blockers Error Pop up Android    06,alerts,Paper,"Verify ""Paper Jam"" error popup",alerts/AL_06 - Verify Paper Jam error popup.yaml,com.hp.impulse.sprocket
AL_07,Blockers Error Pop up Android    07,alerts,Paper,"Verify ""Out of Paper"" error popup",alerts/AL_07 - Verify Out of Paper error popup.yaml,com.hp.impulse.sprocket
AL_08,Blockers Error Pop up Android   08,alerts,Cover,"Verify ""Top Cover Open"" error popup",alerts/AL_08 - Verify Top Cover Open error popup.yaml,com.hp.impulse.sprocket
AL_09,Blockers Error Pop up Android    09,alerts,System,"Verify ""System Error Occurred"" error popup",alerts/AL_09 - Verify System Error Occurred error popup.yaml,com.hp.impulse.sprocket
AL_10,Blockers Error Pop up Android   10,alerts,Battery,"Verify ""Very Low Battery"" popup",alerts/AL_10 - Verify Very Low Battery popup.yaml,com.hp.impulse.sprocket
AL_11,Blockers Error Pop up Android   11,alerts,Battery,"Verify ""Battery Error"" popup",alerts/AL_11 - Verify Battery Error popup.yaml,com.hp.impulse.sprocket
AL_12,Blockers Error Pop up Android   12,alerts,Temperature,"Verify ""Sprocket is Warm"" popup",alerts/AL_12 - Verify Sprocket is Warm popup.yaml,com.hp.impulse.sprocket
AL_13,Blockers Error Pop up Android   13,alerts,Temperature,"Verify ""Sprocket is Cold"" popup",alerts/AL_13 - Verify Sprocket is Cold popup.yaml,com.hp.impulse.sprocket
AL_14,Blockers Error Pop up Android   14,alerts,Paper,"Verify ""Paper Feed Error"" popup",alerts/AL_14 - Verify Paper Feed Error popup.yaml,com.hp.impulse.sprocket
AL_15,Blockers Error Pop up Android   15,alerts,Printer,"Verify ""Sprocket not Responding"" popup",alerts/AL_15 - Verify Sprocket not Responding popup.yaml,com.hp.impulse.sprocket
AL_16,Blockers Error Pop up Android  16,alerts,Paper,"Verify ""Incorrect Paper Type"" popup",alerts/AL_16 - Verify Incorrect Paper Type popup.yaml,com.hp.impulse.sprocket
AL_17,Blockers Error Pop up Android   17,alerts,Transmission,"Verify ""Error Sending Image"" popup",alerts/AL_17 - Verify Error Sending Image popup.yaml,com.hp.impulse.sprocket
