TestCaseID,Module,FlowFile,App,ExcelID,Description
SP_01,splash,splash/SP_01 - Cold launch splash screen.yaml,com.hp.impulse.sprocket,,
SP_02,splash,splash/SP_02 - Splash to first interactive screen.yaml,com.hp.impulse.sprocket,,
ON_01,onboarding,onboarding/ON_01 - Welcome carousel first slide.yaml,com.hp.impulse.sprocket,,
ON_02,onboarding,onboarding/ON_02 - AI Editing carousel slide.yaml,com.hp.impulse.sprocket,,
ON_03,onboarding,onboarding/ON_03 - Inkless Seamless carousel slide.yaml,com.hp.impulse.sprocket,,
ON_04,onboarding,onboarding/ON_04 - Complete onboarding via Get Started.yaml,com.hp.impulse.sprocket,,
ON_05,onboarding,onboarding/ON_05 - Coachmark onboarding Skip and Next.yaml,com.hp.impulse.sprocket,,
ON_06,onboarding,onboarding/ON_06 - Skip onboarding land on gallery.yaml,com.hp.impulse.sprocket,,
SG_01,signup,signup/SG_01 - Sign up screen displays all options.yaml,com.hp.impulse.sprocket,,
SG_02,signup,signup/SG_02 - Sign up with Google.yaml,com.hp.impulse.sprocket,,
SG_03,signup,signup/SG_03 - Sign up with Facebook.yaml,com.hp.impulse.sprocket,,
SG_04,signup,signup/SG_04 - Sign up with Email opens form.yaml,com.hp.impulse.sprocket,,
SG_05,signup,signup/SG_05 - I already have an account opens login.yaml,com.hp.impulse.sprocket,,
SG_06,signup,signup/SG_06 - Sign up with Email valid.yaml,com.hp.impulse.sprocket,,
SG_07,signup,signup/SG_07 - Sign up with Email invalid email.yaml,com.hp.impulse.sprocket,,
SG_08,signup,signup/SG_08 - Sign up with Email invalid password.yaml,com.hp.impulse.sprocket,,
SG_09,signup,signup/SG_09 - Sign up with Email user already exists.yaml,com.hp.impulse.sprocket,,
SG_10,signup,signup/SG_10 - Sign up with Email forgot password from duplicate.yaml,com.hp.impulse.sprocket,,
LO_01,login,login/LO_01 - Login screen displays all options.yaml,com.hp.impulse.sprocket,,
LO_02,login,login/LO_02 - Log in with Google.yaml,com.hp.impulse.sprocket,,
LO_03,login,login/LO_03 - Log in with Facebook.yaml,com.hp.impulse.sprocket,,
LO_04,login,login/LO_04 - Log in with Email opens form.yaml,com.hp.impulse.sprocket,,
LO_05,login,login/LO_05 - I don't have an account opens signup.yaml,com.hp.impulse.sprocket,,
LO_06,login,login/LO_06 - Log in with Email valid credentials.yaml,com.hp.impulse.sprocket,,
LO_07,login,login/LO_07 - Log in with Email wrong credentials.yaml,com.hp.impulse.sprocket,,
LO_08,login,login/LO_08 - Log in with Email forgot password.yaml,com.hp.impulse.sprocket,,
LO_09,login,login/LO_09 - Continue without Logging In.yaml,com.hp.impulse.sprocket,,
SL_01,signup-later,signup-later/SL_01 - Sign Up Later skip signup.yaml,com.hp.impulse.sprocket,,
CO_01,connection,connection/CO_01.yaml,com.hp.impulse.sprocket,,
CO_02,connection,connection/CO_02.yaml,com.hp.impulse.sprocket,,
CO_03,connection,connection/CO_03.yaml,com.hp.impulse.sprocket,,
CO_04,connection,connection/CO_04.yaml,com.hp.impulse.sprocket,,
PM_01,permission,permission/PM_01 - Camera permission allow.yaml,com.hp.impulse.sprocket,,
PM_20,permission,permission/PM_20 - Permission flow allow all permissions.yaml,com.hp.impulse.sprocket,,
GA_01,gallery,gallery/GA_01 - Gallery home screen.yaml,com.hp.impulse.sprocket,,
