TestCaseID,ExcelID,Module,ExcelModule,Description,FlowFile,App
COX_001,PCF-001,connection,Pre Connection Flow,Verify to navigate to 'Add a new Printer' screen,connection/COX_001 - Verify to navigate to Add a new Printer screen.yaml,com.hp.impulse.sprocket
COX_002,PCF-002,connection,Pre Connection Flow,Verify to navigate to 'Enable the full Sprocket experience' screen via 'Skip to Connection' flow,connection/COX_002 - Verify to navigate to Enable the full Sprocket experience sc.yaml,com.hp.impulse.sprocket
COX_003,PCF-003,connection,Pre Connection Flow,Verify printer discovery screen via 'Skip to connection' flow,connection/COX_003 - Verify printer discovery screen via Skip to connection flow.yaml,com.hp.impulse.sprocket
COX_004,PCF-004,connection,Pre Connection Flow,Verify default HP200 printer selection at 'Select Your Device' screen,connection/COX_004 - Verify default HP200 printer selection at Select Your Device.yaml,com.hp.impulse.sprocket
COX_005,PCF-005,connection,Pre Connection Flow,Verify that the user can scroll through all available printer models from right to left,connection/COX_005 - Verify that the user can scroll through all available printe.yaml,com.hp.impulse.sprocket
COX_006,PCF-006,connection,Pre Connection Flow,Verify that the user can scroll through all available printer models from left to right,connection/COX_006 - Verify that the user can scroll through all available printe.yaml,com.hp.impulse.sprocket
COX_007,PCF-007,connection,Pre Connection Flow,Verify that the printer carousel is not an infinite loop and has defined start and end points.,connection/COX_007 - Verify that the printer carousel is not an infinite loop and.yaml,com.hp.impulse.sprocket
COX_008,PCF-008,connection,Pre Connection Flow,Verify selected 'Sprocket 200' printer image updates,connection/COX_008 - Verify selected Sprocket 200 printer image updates.yaml,com.hp.impulse.sprocket
COX_009,PCF-009,connection,Pre Connection Flow,Verify selected 'Sprocket Studio Plus' printer image updates,connection/COX_009 - Verify selected Sprocket Studio Plus printer image updates.yaml,com.hp.impulse.sprocket
COX_010,PCF-010,connection,Pre Connection Flow,Verify selected 'Sprocket 3x4' printer image updates,connection/COX_010 - Verify selected Sprocket 3x4 printer image updates.yaml,com.hp.impulse.sprocket
COX_011,PCF-011,connection,Pre Connection Flow,Verify selected 'HP Sprocket Select' printer image updates,connection/COX_011 - Verify selected HP Sprocket Select printer image updates.yaml,com.hp.impulse.sprocket
COX_012,PCF-012,connection,Pre Connection Flow,Verify selected 'HP Sprocket 2-in-1' printer image updates,connection/COX_012 - Verify selected HP Sprocket 2-in-1 printer image updates.yaml,com.hp.impulse.sprocket
COX_013,PCF-013,connection,Pre Connection Flow,Verify selected 'HP Sprocket Plus' printer image updates,connection/COX_013 - Verify selected HP Sprocket Plus printer image updates.yaml,com.hp.impulse.sprocket
COX_014,PCF-014,connection,Pre Connection Flow,Verify selected 'HP Sprocket Studio' printer image updates,connection/COX_014 - Verify selected HP Sprocket Studio printer image updates.yaml,com.hp.impulse.sprocket
COX_015,PCF-015,connection,Pre Connection Flow,Verify selected 'HP Sprocket' printer image updates,connection/COX_015 - Verify selected HP Sprocket printer image updates.yaml,com.hp.impulse.sprocket
COX_016,PCF-016,connection,Pre Connection Flow,Verify selected 'HP Sprocket Panorama' printer image updates,connection/COX_016 - Verify selected HP Sprocket Panorama printer image updates.yaml,com.hp.impulse.sprocket
COX_017,PCF-017,connection,Pre Connection Flow,Verify that tapping the 'GET IT ON Google Play' button redirects the user to the HP Sprocket Panorama app page on the Go,connection/COX_017 - Verify that tapping the GET IT ON Google Play button redirec.yaml,com.hp.impulse.sprocket
COX_018,PCF-018,connection,Pre Connection Flow,Verify that tapping the 'Download on the App Store' button redirects the user to the HP Sprocket Panorama app page on th,connection/COX_018 - Verify that tapping the Download on the App Store button red.yaml,com.hp.impulse.sprocket
COX_019,PCF_HP200_001,connection,Pre Connection Flow for HP 200,Verify 'Charge + Power On' Screen UI for the HP Sprocket 200,connection/COX_019 - Verify Charge Power On Screen UI for the HP Sprocket 200.yaml,com.hp.impulse.sprocket
COX_020,PCF_HP200_002,connection,Pre Connection Flow for HP 200,Verify the Load Paper screen UI for the HP Sprocket 200 printer.,connection/COX_020 - Verify the Load Paper screen UI for the HP Sprocket 200 prin.yaml,com.hp.impulse.sprocket
COX_021,PCF_HP200_003,connection,Pre Connection Flow for HP 200,Verify Previous Button on Load Paper Screen for the HP Sprocket 200 printer.,connection/COX_021 - Verify Previous Button on Load Paper Screen for the HP Sproc.yaml,com.hp.impulse.sprocket
COX_022,PCF_HP200_004,connection,Pre Connection Flow for HP 200,Verify 'Load Paper' Info Popup for the HP Sprocket 200 printer.,connection/COX_022 - Verify Load Paper Info Popup for the HP Sprocket 200 printer.yaml,com.hp.impulse.sprocket
COX_023,PCF_HP200_005,connection,Pre Connection Flow for HP 200,Verify 'Get Connected' Screen UI for the HP Sprocket 200 printer.,connection/COX_023 - Verify Get Connected Screen UI for the HP Sprocket 200 print.yaml,com.hp.impulse.sprocket
COX_024,PCF_HP200_006,connection,Pre Connection Flow for HP 200,Verify 'Previous' Button on 'Get Connected' Screen for the HP Sprocket 200 printer.,connection/COX_024 - Verify Previous Button on Get Connected Screen for the HP Sp.yaml,com.hp.impulse.sprocket
COX_025,PCF_HP200_007,connection,Pre Connection Flow for HP 200,Verify UI of 'Unable to Connect ?' Info Popup screen,connection/COX_025 - Verify UI of Unable to Connect Info Popup screen.yaml,com.hp.impulse.sprocket
COX_026,PCF_HP200_008,connection,Pre Connection Flow for HP 200,Verify Close Button on Unable to Connect Popup,connection/COX_026 - Verify Close Button on Unable to Connect Popup.yaml,com.hp.impulse.sprocket
COX_027,PCF_HP200_009,connection,Pre Connection Flow for HP 200,Verify 'Finish Setup' Button for the HP Sprocket 200 printer.,connection/COX_027 - Verify Finish Setup Button for the HP Sprocket 200 printer.yaml,com.hp.impulse.sprocket
COX_028,PCF_HP200_010,connection,Pre Connection Flow for HP 200,Verify Navigation to 'Enable the full Sprocket experience' screen for HP200 printer,connection/COX_028 - Verify Navigation to Enable the full Sprocket experience scr.yaml,com.hp.impulse.sprocket
COX_029,PCF_HP200_011,connection,Pre Connection Flow for HP 200,Verify that tapping 'Enable Bluetooth' launches the Bluetooth permission flow for HP200 printer,connection/COX_029 - Verify that tapping Enable Bluetooth launches the Bluetooth .yaml,com.hp.impulse.sprocket
COX_030,PCF_HP200_012,connection,Pre Connection Flow for HP 200,Verify that printer discovery starts automatically after Bluetooth is enabled for HP 200,connection/COX_030 - Verify that printer discovery starts automatically after Blu.yaml,com.hp.impulse.sprocket
COX_031,PCF_HP200_013,connection,Pre Connection Flow for HP 200,Verify User Cancels Bluetooth Enable Request for HP 200 printer,connection/COX_031 - Verify User Cancels Bluetooth Enable Request for HP 200 prin.yaml,com.hp.impulse.sprocket
COX_032,PCF_HP200_014,connection,Pre Connection Flow for HP 200,Verify Bluetooth Already Enabled Scenario for HP 200 printer,connection/COX_032 - Verify Bluetooth Already Enabled Scenario for HP 200 printer.yaml,com.hp.impulse.sprocket
COX_033,PCF_HP200_015,connection,Pre Connection Flow for HP 200,Verify Navigation to 'No Printers Found' Screen for HP 200 printer,connection/COX_033 - Verify Navigation to No Printers Found Screen for HP 200 pri.yaml,com.hp.impulse.sprocket
COX_034,PCF_HP200_016,connection,Pre Connection Flow for HP 200,Verify all UI elements displayed on the 'No Printers Found' screen for HP 200 printer,connection/COX_034 - Verify all UI elements displayed on the No Printers Found sc.yaml,com.hp.impulse.sprocket
COX_035,PCF_HP200_017,connection,Pre Connection Flow for HP 200,Verify that tapping 'Try Again' restarts printer discovery for HP 200 printer,connection/COX_035 - Verify that tapping Try Again restarts printer discovery for.yaml,com.hp.impulse.sprocket
COX_036,PCF_HP200_018,connection,Pre Connection Flow for HP 200,Verify Printer Found After Retry for HP 200 printer,connection/COX_036 - Verify Printer Found After Retry for HP 200 printer.yaml,com.hp.impulse.sprocket
COX_037,PCF_HP200_019,connection,Pre Connection Flow for HP 200,Verify No Printer Found Again After Retry,connection/COX_037 - Verify No Printer Found Again After Retry.yaml,com.hp.impulse.sprocket
COX_038,PCF_HP3*4_001,connection,Pre Connection Flow for Sprocket 3x4,Verify 'Charge + Power On' Screen UI for the HP Sprocket 3x4,connection/COX_038 - Verify Charge Power On Screen UI for the HP Sprocket 3x4.yaml,com.hp.impulse.sprocket
COX_039,PCF_HP3*4_002,connection,Pre Connection Flow for Sprocket 3x4,Verify the Load Paper screen UI for the HP Sprocket 3x4 printer.,connection/COX_039 - Verify the Load Paper screen UI for the HP Sprocket 3x4 prin.yaml,com.hp.impulse.sprocket
COX_040,PCF_HP3*4_003,connection,Pre Connection Flow for Sprocket 3x4,Verify Previous Button on Load Paper Screen for the HP Sprocket 3x4 printer.,connection/COX_040 - Verify Previous Button on Load Paper Screen for the HP Sproc.yaml,com.hp.impulse.sprocket
COX_041,PCF_HP3*4_004,connection,Pre Connection Flow for Sprocket 3x4,Verify 'Load Paper' Info Popup for the HP Sprocket 3x4 printer.,connection/COX_041 - Verify Load Paper Info Popup for the HP Sprocket 3x4 printer.yaml,com.hp.impulse.sprocket
COX_042,PCF_HP3*4_005,connection,Pre Connection Flow for Sprocket 3x4,Verify 'Get Connected' Screen UI for the HP Sprocket 3x4 printer.,connection/COX_042 - Verify Get Connected Screen UI for the HP Sprocket 3x4 print.yaml,com.hp.impulse.sprocket
COX_043,PCF_HP3*4_006,connection,Pre Connection Flow for Sprocket 3x4,Verify 'Previous' Button on 'Get Connected' Screen for the HP Sprocket 3x4 printer.,connection/COX_043 - Verify Previous Button on Get Connected Screen for the HP Sp.yaml,com.hp.impulse.sprocket
COX_044,PCF_HP3*4_007,connection,Pre Connection Flow for Sprocket 3x4,Verify UI of 'Unable to Connect ?' Info Popup screen,connection/COX_044 - Verify UI of Unable to Connect Info Popup screen.yaml,com.hp.impulse.sprocket
COX_045,PCF_HP3*4_008,connection,Pre Connection Flow for Sprocket 3x4,Verify Close Button on Unable to Connect Popup,connection/COX_045 - Verify Close Button on Unable to Connect Popup.yaml,com.hp.impulse.sprocket
COX_046,PCF_HP3*4_009,connection,Pre Connection Flow for Sprocket 3x4,Verify 'Finish Setup' Button for the HP Sprocket 3x4 printer.,connection/COX_046 - Verify Finish Setup Button for the HP Sprocket 3x4 printer.yaml,com.hp.impulse.sprocket
COX_047,PCF_HP3*4_010,connection,Pre Connection Flow for Sprocket 3x4,Verify Navigation to 'Enable the full Sprocket experience' screen for HP Sprocket 3x4 printer,connection/COX_047 - Verify Navigation to Enable the full Sprocket experience scr.yaml,com.hp.impulse.sprocket
