TestCaseID,ExcelID,Module,ExcelModule,Description,FlowFile,App
OSS_01,Sp_01,onboarding-splash,Splash Screen,"Verify app launch, animation, and transition",onboarding-splash/OSS_01 - Verify app launch animation and transition.yaml,com.hp.impulse.sprocket
OSS_02,ON_01,onboarding-splash,Onboarding to Sign Up,Verify the complete transition from Onboarding completion to the Sign Up Options screen,onboarding-splash/OSS_02 - Verify the complete transition from Onboarding completion to.yaml,com.hp.impulse.sprocket
OSS_03,SU (iOS) _01,onboarding-splash,ON_02A_Sign Up Options (iOS),Verify Sign Up Options screen UI and navigation,onboarding-splash/OSS_03 - Verify Sign Up Options screen UI and navigation.yaml,com.hp.impulse.sprocket
OSS_04,SU (Android) _01b,onboarding-splash,ON_02B_Sign Up Options (Android),Verify Sign Up Options (Android) screen UI and navigation,onboarding-splash/OSS_04 - Verify Sign Up Options Android screen UI and navigation.yaml,com.hp.impulse.sprocket
OSS_05,SU_02,onboarding-splash,ON_02C_Sign Up with Email,"Verify Sign Up with Email screen UI, validations and navigation",onboarding-splash/OSS_05 - Verify Sign Up with Email screen UI validations and navigati.yaml,com.hp.impulse.sprocket
OSS_06,ON_02D_SU - E F F TC_ON02DE_01,onboarding-splash,ON_02D_Sign Up - Entering Form Field,Verify form field input and successful Sign Up,onboarding-splash/OSS_06 - Verify form field input and successful Sign Up.yaml,com.hp.impulse.sprocket
OSS_07,ON_02D_SU - E F F TC_ON02DE_02,onboarding-splash,ON_02D_Sign Up - Entering Form Field / ON_02E_Sign Up - Form Fields Filled,Verify Sign Up error messages,onboarding-splash/OSS_07 - Verify Sign Up error messages.yaml,com.hp.impulse.sprocket
OSS_08,ON_02F_C / ON_02G_PP TC_ON02G_01,onboarding-splash,ON_02G_Privacy Policy,Verify Privacy Policy navigation and back action,onboarding-splash/OSS_08 - Verify Privacy Policy navigation and back action.yaml,com.hp.impulse.sprocket
OSS_09,ON_02F_SU - S P / ON_02G_P P  TC_ON02G_02,onboarding-splash,ON_02G_Privacy Policy,Verify Privacy Policy behavior without internet connection,onboarding-splash/OSS_09 - Verify Privacy Policy behavior without internet connection.yaml,com.hp.impulse.sprocket
OSS_10,TC_LI_IOS_13,onboarding-splash,Log In Options (iOS),"Verify successful login using Google, Facebook, Apple, and Email",onboarding-splash/OSS_10 - Verify successful login using Google Facebook Apple and Emai.yaml,com.hp.impulse.sprocket
OSS_11,TC_LI_IOS_14,onboarding-splash,Log In Options (iOS),Verify authentication cancellation,onboarding-splash/OSS_11 - Verify authentication cancellation.yaml,com.hp.impulse.sprocket
OSS_12,TC_LI_AND_13,onboarding-splash,Log In Options (Android),"Verify successful login using Google, Facebook, and Email",onboarding-splash/OSS_12 - Verify successful login using Google Facebook and Email.yaml,com.hp.impulse.sprocket
OSS_13,TC_LI_AND_14,onboarding-splash,Log In Options (Android),Verify authentication cancellation,onboarding-splash/OSS_13 - Verify authentication cancellation.yaml,com.hp.impulse.sprocket
OSS_14,LI_W _E TC_E2E_001,onboarding-splash,App Launch & Auth,Verify full journey from launch to Login,onboarding-splash/OSS_14 - Verify full journey from launch to Login.yaml,com.hp.impulse.sprocket
OSS_15,LI_W _E TC_E2E_002,onboarding-splash,Error Handling,Verify invalid credential flow,onboarding-splash/OSS_15 - Verify invalid credential flow.yaml,com.hp.impulse.sprocket
OSS_16,LI_W _E l TC_LWE_05,onboarding-splash,Log In,"Verify ""Forgot Password?"" link",onboarding-splash/OSS_16 - Verify Forgot Password link.yaml,com.hp.impulse.sprocket
OSS_17,FP TC_E2E_01,onboarding-splash,E2E Navigation,"Verify full journey: Launch, Onboarding, Sign Up, and Forgot Password flow",onboarding-splash/OSS_17 - Verify full journey Launch Onboarding Sign Up and Forgot Pas.yaml,com.hp.impulse.sprocket
OSS_18,FP TC_E2E_02,onboarding-splash,Auth & Error,Verify invalid credential/input handling across Login and Password Recovery,onboarding-splash/OSS_18 - Verify invalid credentialinput handling across Login and Pas.yaml,com.hp.impulse.sprocket
OSS_19,EH TC_ERR_ALL_01,onboarding-splash,Sign Up & Log In Errors,Verify all input validation and system error states for Sign Up and Log In,onboarding-splash/OSS_19 - Verify all input validation and system error states for Sign.yaml,com.hp.impulse.sprocket
OSS_20,EH TC_ERR_ALL_02,onboarding-splash,Forgot Password Errors,Verify all input validation and error states for Forgot Password,onboarding-splash/OSS_20 - Verify all input validation and error states for Forgot Pass.yaml,com.hp.impulse.sprocket
