TestCaseID,ExcelID,Module,ExcelModule,Description,FlowFile,App
PID_01,Photo ID 01,photo-id,Onboarding,Verify camera permission popup and Photo ID onboarding popup,photo-id/PID_01 - Verify camera permission popup and Photo ID onboarding popup.yaml,com.hp.impulse.sprocket
PID_02,Photo ID 02,photo-id,Permission,Verify camera permission denial,photo-id/PID_02 - Verify camera permission denial.yaml,com.hp.impulse.sprocket
PID_03,Photo ID  03,photo-id,UI Verification,Verify Photo ID default UI layout,photo-id/PID_03 - Verify Photo ID default UI layout.yaml,com.hp.impulse.sprocket
PID_04,Photo ID  04,photo-id,UI Verification,Verify Photo ID UI after camera permission denied,photo-id/PID_04 - Verify Photo ID UI after camera permission denied.yaml,com.hp.impulse.sprocket
PID_05,Photo ID 05,photo-id,Aspect Ratio,Verify aspect ratio switching,photo-id/PID_05 - Verify aspect ratio switching.yaml,com.hp.impulse.sprocket
PID_06,Photo ID 06,photo-id,Aspect Ratio,Verify rapid aspect ratio switching,photo-id/PID_06 - Verify rapid aspect ratio switching.yaml,com.hp.impulse.sprocket
PID_07,Photo ID  07,photo-id,Timer,Verify Timer submenu and selection,photo-id/PID_07 - Verify Timer submenu and selection.yaml,com.hp.impulse.sprocket
PID_08,Photo ID 08,photo-id,Timer,Verify Timer Off state,photo-id/PID_08 - Verify Timer Off state.yaml,com.hp.impulse.sprocket
PID_09,Photo ID 09,photo-id,Camera Controls,Verify Flash and Flip Camera,photo-id/PID_09 - Verify Flash and Flip Camera.yaml,com.hp.impulse.sprocket
PID_10,Photo ID  10,photo-id,Capture,Verify photo capture and Print Preview,photo-id/PID_10 - Verify photo capture and Print Preview.yaml,com.hp.impulse.sprocket
PID_11,Photo ID 11,photo-id,Timer Submenu,Verify Timer submenu UI,photo-id/PID_11 - Verify Timer submenu UI.yaml,com.hp.impulse.sprocket
PID_12,Photo ID 12,photo-id,Timer On,Verify Timer ON state,photo-id/PID_12 - Verify Timer ON state.yaml,com.hp.impulse.sprocket
PID_13,Photo ID 13,photo-id,Timer Countdown,Verify countdown UI,photo-id/PID_13 - Verify countdown UI.yaml,com.hp.impulse.sprocket
PID_14,Photo ID 14,photo-id,Timer Countdown,Verify Stop button,photo-id/PID_14 - Verify Stop button.yaml,com.hp.impulse.sprocket
PID_15,Photo ID 15,photo-id,Print Preview 2×2,Verify Print Preview UI,photo-id/PID_15 - Verify Print Preview UI.yaml,com.hp.impulse.sprocket
PID_16,Photo ID 16,photo-id,Print Preview 1×1,Verify Print Preview UI,photo-id/PID_16 - Verify Print Preview UI.yaml,com.hp.impulse.sprocket
PID_17,Photo ID 17,photo-id,Print Preview 1.4×1.8,Verify Print Preview UI,photo-id/PID_17 - Verify Print Preview UI.yaml,com.hp.impulse.sprocket
PID_18,Photo ID 18,photo-id,Print Preview 1.3×1.9,Verify Print Preview UI,photo-id/PID_18 - Verify Print Preview UI.yaml,com.hp.impulse.sprocket
PID_19,Photo ID 19,photo-id,Photo ID Pop-up,Verify Photo ID onboarding popup UI,photo-id/PID_19 - Verify Photo ID onboarding popup UI.yaml,com.hp.impulse.sprocket
PID_20,Photo ID 20,photo-id,Photo ID Pop-up,Verify OK button functionality,photo-id/PID_20 - Verify OK button functionality.yaml,com.hp.impulse.sprocket
PID_21,Photo ID 21,photo-id,Photo ID Pop-up,Verify Don't Show Again,photo-id/PID_21 - Verify Dont Show Again.yaml,com.hp.impulse.sprocket
PID_22,Photo ID 22,photo-id,Edit Button,Verify Edit button disabled,photo-id/PID_22 - Verify Edit button disabled.yaml,com.hp.impulse.sprocket
PID_23,Photo ID 23,photo-id,Photo ID Print Preview,Verify disabled Edit button and Print Preview UI,photo-id/PID_23 - Verify disabled Edit button and Print Preview UI.yaml,com.hp.impulse.sprocket
