TestCaseID,ExcelID,Module,ExcelModule,Description,FlowFile,App
PC_01,Precut_01,precut,Pre-Cut Stickers- navigation,Verify the Pre-Cut Stickers navigation flow from launch to selection and UI verification of the screen,precut/PC_01 - Verify Pre-Cut Stickers navigation and selection UI.yaml,com.hp.impulse.sprocket
PC_02,Precut_02,precut,Pre-Cut Stickers – Warning Popup,Verify that the Pre-Cut Stickers warning popup is displayed when entering the Pre-Cut flow,precut/PC_02 - Verify Pre-Cut Stickers warning popup.yaml,com.hp.impulse.sprocket
PC_02a,Precut_02 (a),precut,Pre-Cut Stickers – “Got It” Button Functionality,Verify that tapping “Got It” closes the warning popup and displays it again when re-entering Pre-Cut,precut/PC_02a - Verify Got It shows warning again.yaml,com.hp.impulse.sprocket
PC_02b,Precut_02 (b),precut,Pre-Cut Stickers- “Don’t Show Again” Button Functionality,Verify that tapping “Don’t Show Again” prevents the warning popup from appearing when re-entering Pre-Cut,precut/PC_02b - Verify Dont Show Again hides warning.yaml,com.hp.impulse.sprocket
PC_03,Precut_03,precut,Pre-Cut Stickers- Scroll gallery,Verify that the header remains fixed while scrolling through photos,precut/PC_03 - Verify header stays fixed while scrolling gallery.yaml,com.hp.impulse.sprocket
PC_04,Precut_04,precut,Pre-Cut Stickers- drag drop window gallery,Verify Gallery window drag and drop functionality,precut/PC_04 - Verify gallery sheet drag positions.yaml,com.hp.impulse.sprocket
PC_05,Precut_05,precut,Pre-Cut Stickers – Select an Image,Verify that the user can select an image for the Pre-Cut slot,precut/PC_05 - Verify select an image for Pre-Cut slot.yaml,com.hp.impulse.sprocket
PC_06,Precut_06,precut,Pre-Cut Stickers – Next Button,Verify that the “Next” button becomes enabled when both photo slots are selected,precut/PC_06 - Verify Next button enables when both slots filled.yaml,com.hp.impulse.sprocket
PC_06a,Precut_06 (a),precut,Pre-Cut Stickers – Next Button,Verify that tapping the “Next” button redirects to Print Preview without displaying the Tiles option,precut/PC_06a - Verify Next opens Print Preview without Tiles.yaml,com.hp.impulse.sprocket
PC_07,Precut_07,precut,Pre-Cut Stickers – Photo Selection,Verify that selected photos display the correct selection count indicators “1” and “2”,precut/PC_07 - Verify selection count indicators 1 and 2.yaml,com.hp.impulse.sprocket
