TestCaseID,ExcelID,Module,ExcelModule,Description,FlowFile,App
PR_01,Print Preview Screen 01,printing,Permission,Media Access Modal,printing/PR_01 - Media Access Modal.yaml,com.hp.impulse.sprocket
PR_02,Print Preview Screen 02,printing,Print Preview,Header Status,printing/PR_02 - Header Status.yaml,com.hp.impulse.sprocket
PR_03,Print Preview Screen 03,printing,Controls,Copies vs. Tiles,printing/PR_03 - Copies vs Tiles.yaml,com.hp.impulse.sprocket
PR_04,Print Preview Screen 04,printing,Print Action,Print & Edit Buttons,printing/PR_04 - Print Edit Buttons.yaml,com.hp.impulse.sprocket
PR_05,Print Preview Screen 05,printing,Navigation,Bottom Nav Bar,printing/PR_05 - Bottom Nav Bar.yaml,com.hp.impulse.sprocket
PR_06,Print Preview Screen 06,printing,Print Preview,Default UI State,printing/PR_06 - Default UI State.yaml,com.hp.impulse.sprocket
PR_07,Print Preview Screen 07,printing,Print Preview,Header Actions,printing/PR_07 - Header Actions.yaml,com.hp.impulse.sprocket
PR_08,Print Preview Screen 08,printing,Print Preview,Copy Control Limits,printing/PR_08 - Copy Control Limits.yaml,com.hp.impulse.sprocket
PR_09,Print Preview Screen 09,printing,Print Preview,Edit Functionality,printing/PR_09 - Edit Functionality.yaml,com.hp.impulse.sprocket
PR_10,Print Preview Screen 10,printing,Print Preview,Print Action,printing/PR_10 - Print Action.yaml,com.hp.impulse.sprocket
PR_11,Print Preview Screen 11,printing,Print Preview,Back Navigation,printing/PR_11 - Back Navigation.yaml,com.hp.impulse.sprocket
PR_12,Print Preview Screen 12,printing,Print Preview,Paper Layout,printing/PR_12 - Paper Layout.yaml,com.hp.impulse.sprocket
PR_13,Print Preview Screen 13,printing,Print Preview,UI Layout Verification for Pre-Cut Sticker Flow,printing/PR_13 - UI Layout Verification for Pre-Cut Sticker Flow.yaml,com.hp.impulse.sprocket
PR_14,Print Preview Screen 14,printing,Functionality,Tiles Option Availability Restriction,printing/PR_14 - Tiles Option Availability Restriction.yaml,com.hp.impulse.sprocket
PR_15,Print Preview Screen 15,printing,UI Layout,AI Button Visibility Restriction,printing/PR_15 - AI Button Visibility Restriction.yaml,com.hp.impulse.sprocket
PR_16,Print Preview Screen 16,printing,Controls,Copy Count Adjustment and Boundary Validation,printing/PR_16 - Copy Count Adjustment and Boundary Validation.yaml,com.hp.impulse.sprocket
PR_17,Print Preview Screen 17,printing,Navigation,"Edit, Print, and Back Button Functionality",printing/PR_17 - Edit Print and Back Button Functionality.yaml,com.hp.impulse.sprocket
PR_18,Print Preview Screen 18,printing,Print Preview,Feature Availability Verification for Multiple Photos,printing/PR_18 - Feature Availability Verification for Multiple Photos.yaml,com.hp.impulse.sprocket
PR_19,Print Preview Screen 19,printing,Carousel,Photo Selection Order Verification,printing/PR_19 - Photo Selection Order Verification.yaml,com.hp.impulse.sprocket
PR_20,Print Preview Screen 20,printing,Carousel,Swipe Navigation Between Photos,printing/PR_20 - Swipe Navigation Between Photos.yaml,com.hp.impulse.sprocket
PR_21,Print Preview Screen 21,printing,Carousel,Peeking Photo Selection via Tap,printing/PR_21 - Peeking Photo Selection via Tap.yaml,com.hp.impulse.sprocket
PR_22,Print Preview Screen 22,printing,Carousel,Edit Button Overlay Behavior on Peeking Photos,printing/PR_22 - Edit Button Overlay Behavior on Peeking Photos.yaml,com.hp.impulse.sprocket
PR_23,Print Preview Screen 23,printing,Functionality,AI Button Functionality Without Printer,printing/PR_23 - AI Button Functionality Without Printer.yaml,com.hp.impulse.sprocket
PR_24,Print Preview Screen 24,printing,Functionality,Edit Button Functionality Without Printer,printing/PR_24 - Edit Button Functionality Without Printer.yaml,com.hp.impulse.sprocket
PR_25,Print Preview Screen  25,printing,Functionality,Photo Carousel Interaction Without Printer,printing/PR_25 - Photo Carousel Interaction Without Printer.yaml,com.hp.impulse.sprocket
PR_26,Print Preview Screen 26,printing,UI Layout,UI State and Connection Trigger When Printer is Offline,printing/PR_26 - UI State and Connection Trigger When Printer is Offline.yaml,com.hp.impulse.sprocket
PR_27,Print Preview Screen 27,printing,Data & Flow,Printer Reconnection Flow and State Persistence,printing/PR_27 - Printer Reconnection Flow and State Persistence.yaml,com.hp.impulse.sprocket
PR_28,Print Preview Screen 28,printing,Flow Handling,Connection Cancellation and Early Exit Behavior,printing/PR_28 - Connection Cancellation and Early Exit Behavior.yaml,com.hp.impulse.sprocket
PR_29,Print Preview Screen 29,printing,Print Flow,Edit & Validation Loader,printing/PR_29 - Edit Validation Loader.yaml,com.hp.impulse.sprocket
PR_30,Print Preview Screen 30,printing,Reconnection,Printer Reconnection Flow,printing/PR_30 - Printer Reconnection Flow.yaml,com.hp.impulse.sprocket
PR_31,Print Preview Screen 31,printing,Print Loader,Blocker Error Handling,printing/PR_31 - Blocker Error Handling.yaml,com.hp.impulse.sprocket
PR_32,Print Preview Screen 32,printing,Error Handling,Trigger & UI Verification,printing/PR_32 - Trigger UI Verification.yaml,com.hp.impulse.sprocket
PR_33,Print Preview Screen 33,printing,Hardware,Sprocket 3×4 Constraint,printing/PR_33 - Sprocket 34 Constraint.yaml,com.hp.impulse.sprocket
PR_34,Print Preview Screen 34,printing,Firmware Update,Trigger & UI Validation,printing/PR_34 - Trigger UI Validation.yaml,com.hp.impulse.sprocket
PR_35,Print Preview Screen 35,printing,Firmware Update,Dismissal Interaction,printing/PR_35 - Dismissal Interaction.yaml,com.hp.impulse.sprocket
PR_36,Print Preview Screen 36,printing,Print Preview,"Verify AI/Edit, Copy Limits, Print Button and Error Handling",printing/PR_36 - Verify AIEdit Copy Limits Print Button and Error Handling.yaml,com.hp.impulse.sprocket
PR_37,Print Preview Screen 37,printing,Gestures,Verify Fit/Fill Toast,printing/PR_37 - Verify FitFill Toast.yaml,com.hp.impulse.sprocket
PR_38,Print Preview Screen 38,printing,Gestures,Verify Double Tap,printing/PR_38 - Verify Double Tap.yaml,com.hp.impulse.sprocket
PR_39,Print Preview Screen 39,printing,Snapping,Verify Rotation Snap,printing/PR_39 - Verify Rotation Snap.yaml,com.hp.impulse.sprocket
PR_40,Print Preview Screen 40,printing,Snapping,Verify Center Snap,printing/PR_40 - Verify Center Snap.yaml,com.hp.impulse.sprocket
PR_41,Print Preview Screen 41,printing,Snapping,Verify Edge Snap,printing/PR_41 - Verify Edge Snap.yaml,com.hp.impulse.sprocket
PR_42,Print Preview Screen 42,printing,Gestures,Verify Boundary Lock,printing/PR_42 - Verify Boundary Lock.yaml,com.hp.impulse.sprocket
PR_43,Print Preview Screen 43,printing,Gestures,Verify Fit/Fill Lock,printing/PR_43 - Verify FitFill Lock.yaml,com.hp.impulse.sprocket
