TestCaseID,ExcelID,Module,ExcelModule,Description,FlowFile,App
QPX_01,QUICK PRINT _001,quick-print,Quick Print - Gallery Permission,Verify the Gallery permission popup is displayed when the user opens Quick Print for the first time.,quick-print/QPX_01 - Verify the Gallery permission popup is displayed when the us.yaml,com.hp.impulse.sprocket
QPX_02,QUICK PRINT_002,quick-print,Gallery Permission,Verify the Allow all option opens the Gallery screen.,quick-print/QPX_02 - Verify the Allow all option opens the Gallery screen.yaml,com.hp.impulse.sprocket
QPX_03,QUICK PRINT _003,quick-print,Gallery Screen,Verify the Gallery screen user interface.,quick-print/QPX_03 - Verify the Gallery screen user interface.yaml,com.hp.impulse.sprocket
QPX_04,QUICK PRINT_004,quick-print,Select Mode Tip,Verify the Select Mode toast message on the Gallery screen.,quick-print/QPX_04 - Verify the Select Mode toast message on the Gallery screen.yaml,com.hp.impulse.sprocket
QPX_05,QUICK PRINT_005,quick-print,Gallery Permission,Verify the Don't allow option on the Gallery permission popup.,quick-print/QPX_05 - Verify the Dont allow option on the Gallery permission popup.yaml,com.hp.impulse.sprocket
QPX_06,QUICK PRINT_006,quick-print,Gallery Permission,Verify the Allow limited access option.,quick-print/QPX_06 - Verify the Allow limited access option.yaml,com.hp.impulse.sprocket
QPX_07,QUICK PRINT_007,quick-print,Gallery - Select Mode,Verify the Gallery screen enters Select Mode after selecting one photo.,quick-print/QPX_07 - Verify the Gallery screen enters Select Mode after selecting.yaml,com.hp.impulse.sprocket
QPX_08,QUICK PRINT_008,quick-print,Gallery - Multiple Selection,Verify selecting both photos and videos in Select Mode.,quick-print/QPX_08 - Verify selecting both photos and videos in Select Mode.yaml,com.hp.impulse.sprocket
QPX_09,QUICK PRINT_009,quick-print,Gallery - Unselect Photos,Verify unselecting all selected photos and videos.,quick-print/QPX_09 - Verify unselecting all selected photos and videos.yaml,com.hp.impulse.sprocket
QPX_10,QUICK PRINGT_010,quick-print,Gallery - Maximum Selection Limit,Verify the maximum selection limit of 10 photos.,quick-print/QPX_10 - Verify the maximum selection limit of 10 photos.yaml,com.hp.impulse.sprocket
QPX_11,QUICK PRIN_011,quick-print,Gallery - Select Mode User Interface,Verify the Select Mode user interface.,quick-print/QPX_11 - Verify the Select Mode user interface.yaml,com.hp.impulse.sprocket
QPX_12,QUICK PRINT_012,quick-print,Select Gallery - Facebook,Verify that the user can open the Select Gallery screen and the Facebook option is displayed.,quick-print/QPX_12 - Verify that the user can open the Select Gallery screen and .yaml,com.hp.impulse.sprocket
QPX_13,QUICK PRINT 13,quick-print,Facebook Gallery,Verify that the Facebook Gallery opens successfully.,quick-print/QPX_13 - Verify that the Facebook Gallery opens successfully.yaml,com.hp.impulse.sprocket
QPX_14,QUICK PRINT 14,quick-print,Facebook Overflow Menu,Verify the Unlink option in the overflow menu.,quick-print/QPX_14 - Verify the Unlink option in the overflow menu.yaml,com.hp.impulse.sprocket
QPX_15,QUICK PRINT 15,quick-print,Facebook Unlink Popup,Verify the Unlink confirmation popup user interface.,quick-print/QPX_15 - Verify the Unlink confirmation popup user interface.yaml,com.hp.impulse.sprocket
